health science,creative expression,technology,people,organization,influence,nature,things
4.833333333,3.75,3.8125,3.95,2.85,3.5625,3.666666667,3.416666667
4.583333333,3.25,4.4375,4.6,4.4,4.15625,4.583333333,3.833333333
3.666666667,3.571428571,3.6875,3.65,3.4,3.3125,4,3.958333333
3.5,3.821428571,3.4375,2.85,3,3.34375,3.5,2.708333333
2.333333333,2.892857143,2.875,2.8,2.15,2.21875,2.416666667,2.666666667
1.916666667,3.071428571,2.4375,3.4,2.85,3.5,2.25,2.25
2.166666667,2.5,3.6875,1.95,1.6,3.75,3.916666667,3.666666667
2.083333333,3.607142857,3.5,3.1,3.4,4.0625,2.5,3.5
3,2.821428571,3.5625,3.55,2.35,2.15625,3.083333333,3
4,1.892857143,3.3125,3.2,3.3,2.8125,4.333333333,2.041666667
4,3.785714286,3.875,4.45,4.2,4.25,4.666666667,3.666666667
4.083333333,4.5,4.25,4.4,4.3,4.3125,4.416666667,4.458333333
2.666666667,2.357142857,2.3125,3.55,2.95,2.875,3,2.833333333
4,3.892857143,4.125,3.95,3.9,3.9375,3.583333333,3.875
3.666666667,2.678571429,3.5,3.6,3.2,3.5625,3.583333333,2.541666667
3.25,2.892857143,3.125,3.6,3.5,3.15625,4.416666667,2.625
2.416666667,4.071428571,3.75,3.3,3.8,3.25,3.833333333,2.875
2.416666667,3.607142857,3.5625,3.25,3.4,2.78125,3.416666667,2.541666667
5,5,5,4.6,5,5,5,5
4,4.107142857,3.6875,4.05,4.3,4,4.083333333,3.958333333
4.583333333,4.035714286,4.4375,4.75,4.8,4.65625,4.5,3.833333333
4.5,4.535714286,4.5625,4.55,4.55,4.5,4.416666667,4.583333333
2.333333333,2.678571429,3.3125,2.9,3.4,3.5,3,2.125
4.083333333,4.392857143,4.375,4.1,4.25,4.21875,4.416666667,4.291666667
4.75,4.571428571,3.625,4.25,4.65,4.0625,4.666666667,3.25
3.833333333,4.107142857,4.3125,4.2,3.5,3.25,3.75,4.208333333
3.083333333,3.821428571,4,3.65,5,3.875,4.333333333,3.916666667
4.333333333,4.25,4.1875,4.35,4.25,4.25,4.333333333,4.208333333
5,5,4.1875,5,4.75,4.15625,4.333333333,3.75
3.666666667,3.857142857,3.875,3.4,3.9,3.4375,4.333333333,3.916666667
4.333333333,4.214285714,4.3125,4.4,4.4,4.1875,4.5,4.125
4.916666667,4.535714286,3.75,3.95,4.45,4.46875,1.666666667,2.166666667
4.5,3.035714286,2.75,3.95,4.7,3.78125,2.583333333,2.166666667
3.583333333,2.928571429,3.9375,3.55,3.45,2.4375,4.5,3.958333333
1.666666667,3.25,1.5,2.8,3.15,2.5,4.5,2.083333333
2.416666667,3.392857143,2.875,2.55,2.35,1.8125,3.75,2.333333333
4.583333333,4.607142857,4.625,4.6,4.7,4.71875,4.583333333,4.708333333
3.583333333,3.892857143,3.5625,3.85,4.2,4.09375,3.833333333,3.291666667
4.083333333,4.071428571,4,4,4.1,4,4,4
4.083333333,3.5,4,4.05,3.85,4.125,4.333333333,3.041666667
4.166666667,4.571428571,3.1875,4.3,4.85,4.625,4.166666667,3.041666667
3.833333333,3.892857143,3.875,3.1,3.4,3.375,4.583333333,3.833333333
2.833333333,4.785714286,3.5625,4.6,4.55,3.84375,3.75,2.458333333
4.166666667,3,4.1875,4.25,3.05,4.03125,3.916666667,3.583333333
2.916666667,3.107142857,3.3125,3.05,3.3,3.40625,2.75,3.208333333
