,D1,D2,D3,D4,D5,D6,D7,D8
RC1,-0.0938661341975207,0.725646896773095,-0.144993992084235,-0.0511471823277374,-0.141830909662444,0.0257043334194997,-0.439052044498105,-0.414787679424278
RC2,0.29894535637675,0.103078537880847,0.341367970890704,-0.362955780514473,-0.137371793001242,-0.350049570385876,0.224325760882168,0.095437252440523
RC3,-0.0336186831191054,-0.0647550467116389,-0.0333941421827843,0.108592100326823,0.400673235152567,0.348369604175696,-0.361433583728488,-0.539263774692029
RC8,0.753328094782741,-0.181398133307168,0.108458952238935,0.252052546703417,-0.0175229748194102,-0.0620008961111063,-0.164096969754589,-0.447373482005346
RC4,0.121276007060834,-0.155699933582451,-0.651904441285462,0.180906493841926,0.114470628656067,0.109443791024273,0.200664298415877,-0.16393348685723
RC5,0.0830242723004297,-0.268563023894805,-0.0689980614440923,0.0573633885743079,-0.156404275526099,0.301991903988295,-0.235157090211896,0.140839236096432
RC6,-0.169056715469646,-0.204072213515525,0.0784790936157667,-0.313894155686669,0.488707818110202,0.331585778243029,-0.257156913540449,-0.152604934081563
RC7,-0.131089871320101,-0.107354020919415,0.348928636528469,-0.0506801256143032,0.202116923486334,0.247427951847496,-0.537137380687927,0.0355145270738386
